title,authors,type_of_ban,state,district,date_of_challenge_removal,origin_of_challenge,categories,publishing_date,description,text_snippet
Ace of Spades,"Àbíké-Íyímídé, Faridah",Banned in Libraries and Classrooms,Florida,Indian River County School District,November 2021,Administrator,Young Adult Fiction,2021-06-01,"Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully. All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. —Aces When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too. Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures. As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly? With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé.","Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon &amp; Chiamaka, and their struggles against an anonymous bully."
Clap When You Land,"Acevedo, Elizabeth",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Young Adult Fiction,2020-05-05,"In a novel-in-verse that brims with grief and love, National Book Award-winning and New York Times bestselling author Elizabeth Acevedo writes about the devastation of loss, the difficulty of forgiveness, and the bittersweet bonds that shape our lives. Camino Rios lives for the summers when her father visits her in the Dominican Republic. But this time, on the day when his plane is supposed to land, Camino arrives at the airport to see crowds of crying people… In New York City, Yahaira Rios is called to the principal’s office, where her mother is waiting to tell her that her father, her hero, has died in a plane crash. Separated by distance—and Papi’s secrets—the two girls are forced to face a new reality in which their father is dead and their lives are forever altered. And then, when it seems like they’ve lost everything of their father, they learn of each other. Great for summer reading or anytime! Clap When You Land is a Today show pick for “25 children’s books your kids and teens won’t be able to put down this summer!"" Plus don't miss Elizabeth Acevedo's The Poet X and With the Fire on High!",Clap When You Land is a Today show pick for “25 children’s books your kids and teens won’t be able to put down this summer!&quot; Plus don&#39;t miss Elizabeth Acevedo&#39;s The Poet X and With the Fire on High!
The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Florida,Indian River County School District,November 2021,Administrator,Young Adult Fiction,2018-03-06,"“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost “Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing #ownvoices novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.","Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” ..."
The Poet X,"Acevedo, Elizabeth",Banned in Libraries and Classrooms,New York,Marlboro Central School District,February 2022,Administrator,Young Adult Fiction,2018-03-06,"“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost “Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing #ownvoices novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.","Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” ..."
"Acevedo, Elizabeth","Acevedo, Elizabeth",Banned Pending Investigation,Texas,Fredericksburg Independent School District,March 2022,Administrator,,,,
The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Virginia,New Kent County Public Schools,October 2021,Administrator,Young Adult Fiction,2018-03-06,"“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost “Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing #ownvoices novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth. Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking. But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems. Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.","Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” ..."
Call Me By Your Name (Call Me By Your Name Series),"Aciman, André",Banned Pending Investigation,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,Fiction,2008-01-22,"Now a Major Motion Picture from Director Luca Guadagnino, Starring Armie Hammer and Timothée Chalamet, and Written by Three-Time OscarTM Nominee James Ivory The Basis of the Oscar-Winning Best Adapted Screenplay A New York Times Bestseller A USA Today Bestseller A Los Angeles Times Bestseller A Vulture Book Club Pick An Instant Classic and One of the Great Love Stories of Our Time Andre Aciman's Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents’ cliffside mansion on the Italian Riviera. Each is unprepared for the consequences of their attraction, when, during the restless summer weeks, unrelenting currents of obsession, fascination, and desire intensify their passion and test the charged ground between them. Recklessly, the two verge toward the one thing both fear they may never truly find again: total intimacy. It is an instant classic and one of the great love stories of our time. Winner of the Lambda Literary Award for Ficition A New York Times Notable Book of the Year • A Publishers Weekly and The Washington Post Best Book of the Year • A New York Magazine ""Future Canon"" Selection • A Chicago Tribune and Seattle Times (Michael Upchurch's) Favorite Favorite Book of the Year","Now a Major Motion Picture from Director Luca Guadagnino, Starring Armie Hammer and Timothée Chalamet, and Written by Three-Time OscarTM Nominee James Ivory The Basis of the Oscar-Winning Best Adapted Screenplay A New York Times Bestseller ..."
"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc",Banned Pending Investigation,Florida,Indian River County School District,November 2021,Administrator,Fiction,2004-09-07,"A deliciously funny romp of a novel about one overly theatrical and sexually confused New Jersey teenager’s larcenous quest for his acting school tuition It’s 1983 in Wallingford, New Jersey, a sleepy bedroom community outside of Manhattan. Seventeen-year-old Edward Zanni, a feckless Ferris Bueller–type, is Peter Panning his way through a carefree summer of magic and mischief. The fun comes to a halt, however, when Edward’s father remarries and refuses to pay for Edward to study acting at Juilliard. Edward’s truly in a bind. He’s ineligible for scholarships because his father earns too much. He’s unable to contact his mother because she’s somewhere in Peru trying to commune with Incan spirits. And, as a sure sign he’s destined for a life in the arts, Edward’s incapable of holding down a job. So he turns to his loyal (but immoral) misfit friends to help him steal the tuition money from his father, all the while practicing for his high school performance of Grease. Disguising themselves as nuns and priests, they merrily scheme their way through embezzlement, money laundering, identity theft, forgery, and blackmail. But, along the way, Edward also learns the value of friendship, hard work, and how you’re not really a man until you can beat up your father—metaphorically, that is. How I Paid for College is a farcical coming-of-age story that combines the first-person tone of David Sedaris with the byzantine plot twists of Armistead Maupin. It is a novel for anyone who has ever had a dream or a scheme, and it marks the introduction to an original and audacious talent.",How I Paid for College is a farcical coming-of-age story that combines the first-person tone of David Sedaris with the byzantine plot twists of Armistead Maupin.
My Name Is María Isabel,"Ada, Alma Flor",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,1995-09,"Third grader Marâia Isabel, born in Puerto Rico and now living in the United States, wants badly to fit in at school; and the teacher's writing assignment ""My Greatest Wish"" gives her that opportunity.","Third grader Marâia Isabel, born in Puerto Rico and now living in the United States, wants badly to fit in at school; and the teacher&#39;s writing assignment &quot;My Greatest Wish&quot; gives her that opportunity."
Time to Pray,"Addasi, Maha",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Religion,2018-11-06,"Foreword by Eric Metaxas. Prayers activate God's power and God's power changes everything. This book will help you understand how prayer is vital to your life, your community, and the world. It will challenge you to make prayer more than a moment and instead make it a lifestyle.","Foreword by Eric Metaxas. Prayers activate God&#39;s power and God&#39;s power changes everything. This book will help you understand how prayer is vital to your life, your community, and the world."
Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi",Banned Pending Investigation,Texas,Katy Independent School District,January 2022,Administrator,YOUNG ADULT FICTION,2018-03-06,"Zľie Adebola remembers when the soil of Ors̐ha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zľie's Reaper mother summoned forth souls.","Zľie Adebola remembers when the soil of Ors̐ha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zľie&#39;s Reaper mother summoned forth souls."
"47,000 Beads","Adeyoha, Koja; Adeyoha, Angel",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Clothing and dress,2017,"When Peyton doesn't want to wear a dress or dance at Pow Wow anymore, her Auntie finds regalia and an elder to help her navigate her Two-Spirit identity.","When Peyton doesn&#39;t want to wear a dress or dance at Pow Wow anymore, her Auntie finds regalia and an elder to help her navigate her Two-Spirit identity."
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",Banned in Classrooms,Michigan,Hudsonville Public Schools,January 2022,Formal Challenge,Fiction,2010-10-29,"With her award-winning debut novel, Purple Hibiscus, Chimamanda Ngozi Adichie was heralded by the Washington Post Book World as the “21st century daughter” of Chinua Achebe. Now, in her masterly, haunting new novel, she recreates a seminal moment in modern African history: Biafra’s impassioned struggle to establish an independent republic in Nigeria during the 1960s. With the effortless grace of a natural storyteller, Adichie weaves together the lives of five characters caught up in the extraordinary tumult of the decade. Fifteen-year-old Ugwu is houseboy to Odenigbo, a university professor who sends him to school, and in whose living room Ugwu hears voices full of revolutionary zeal. Odenigbo’s beautiful mistress, Olanna, a sociology teacher, is running away from her parents’ world of wealth and excess; Kainene, her urbane twin, is taking over their father’s business; and Kainene’s English lover, Richard, forms a bridge between their two worlds. As we follow these intertwined lives through a military coup, the Biafran secession and the subsequent war, Adichie brilliantly evokes the promise, and intimately, the devastating disappointments that marked this time and place. Epic, ambitious and triumphantly realized, Half of a Yellow Sun is a more powerful, dramatic and intensely emotional picture of modern Africa than any we have had before.","With her award-winning debut novel, Purple Hibiscus, Chimamanda Ngozi Adichie was heralded by the Washington Post Book World as the “21st century daughter” of Chinua Achebe."
Cool for the Summer,"Adler, Dahlia",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-05-11,"""Witty, wise, and disarmingly tender. I am hopelessly devoted to this summer dream of a book."" —Becky Albertalli, New York Times bestselling author of Simon vs. the Homo Sapiens Agenda The guy of her dreams... or the girl in her heart? Lara's had eyes for exactly one person throughout her three years of high school: Chase Harding. He's tall, strong, sweet, a football star, and frankly, stupid hot. Oh, and he's talking to her now. On purpose and everything. Maybe...flirting, even? No, wait, he's definitely flirting, which is pretty much the sum of everything Lara's wanted out of life. Except she’s haunted by a memory. A memory of a confusing, romantic, strangely perfect summer spent with a girl named Jasmine. A memory that becomes a confusing, disorienting present when Jasmine herself walks through the front doors of the school to see Lara and Chase chatting it up in front of the lockers. Lara has everything she ever wanted: a tight-knit group of friends, a job that borders on cool, and Chase, the boy of her literal dreams. But if she's finally got the guy, why can't she stop thinking about the girl? Dahlia Adler's Cool for the Summer is a story of self-discovery and new love. It’s about the things we want and the things we need. And it’s about the people who will let us be who we are.","But if she&#39;s finally got the guy, why can&#39;t she stop thinking about the girl? Dahlia Adler&#39;s Cool for the Summer is a story of self-discovery and new love. It’s about the things we want and the things we need."
The Accidental Adventures of India McAllister,"Agell, Charlotte",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2010-06-22,"India, an unusual nine-and-a-half-year-old living in small-town Maine, has a series of adventures which bring her closer to her artist-mother, strengthen her friendship with a neighbor boy, and help her to accept the man for whom her father moved away.","India, an unusual nine-and-a-half-year-old living in small-town Maine, has a series of adventures which bring her closer to her artist-mother, strengthen her friendship with a neighbor boy, and help her to accept the man for whom her father ..."
How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2020,"""Fleeing to Rome in the wake of coming out to his Muslim family, a failed relationship, and blackmail, eighteen-year-old Amir Azadi embarks on a more authentic life with new friends and dates in the Sistine Chapel before an encounter with a U.S. Customs officer places his hard-won freedom at risk."" --","&quot;Fleeing to Rome in the wake of coming out to his Muslim family, a failed relationship, and blackmail, eighteen-year-old Amir Azadi embarks on a more authentic life with new friends and dates in the Sistine Chapel before an encounter with a ..."
How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2020,"""Fleeing to Rome in the wake of coming out to his Muslim family, a failed relationship, and blackmail, eighteen-year-old Amir Azadi embarks on a more authentic life with new friends and dates in the Sistine Chapel before an encounter with a U.S. Customs officer places his hard-won freedom at risk."" --","&quot;Fleeing to Rome in the wake of coming out to his Muslim family, a failed relationship, and blackmail, eighteen-year-old Amir Azadi embarks on a more authentic life with new friends and dates in the Sistine Chapel before an encounter with a ..."
Mae Among the Stars,"Ahmed, Roda",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2020-05-26,"A beautiful picture book for sharing and marking special occasions such as graduation, inspired by the life of the first African American woman to travel in space, Mae Jemison. An Amazon Best Book of the Month! A great classroom and bedtime read-aloud, Mae Among the Stars is the perfect book for young readers who have big dreams and even bigger hearts. When Little Mae was a child, she dreamed of dancing in space. She imagined herself surrounded by billions of stars, floating, gliding, and discovering. She wanted to be an astronaut. Her mom told her, ""If you believe it, and work hard for it, anything is possible.” Little Mae’s curiosity, intelligence, and determination, matched with her parents' encouraging words, paved the way for her incredible success at NASA as the first African American woman to travel in space. This book will inspire other young girls to reach for the stars, to aspire for the impossible, and to persist with childlike imagination.","This book will inspire other young girls to reach for the stars, to aspire for the impossible, and to persist with childlike imagination. Inspired by the story of Mae Jemison, the first African American woman in space."
"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Mississippi,Madison County Schools,April 2022,Administrator,Young Adult Fiction,2018-01-16,"A NEW YORK TIMES BESTSELLER In this unforgettable debut novel, an Indian-American Muslim teen copes with Islamophobia, cultural divides among peers and parents, and a reality she can neither explain nor escape. Seventeen-year-old Maya Aziz is torn between worlds. There’s the proper one her parents expect for their good Indian daughter: attending a college close to their suburban Chicago home and being paired off with an older Muslim boy her mom deems “suitable.” And then there is the world of her dreams: going to film school and living in New York City—and pursuing a boy she’s known from afar since grade school. But in the aftermath of a horrific crime perpetrated hundreds of miles away, her life is turned upside down. The community she’s known since birth becomes unrecognizable; neighbors and classmates are consumed with fear, bigotry, and hatred. Ultimately, Maya must find the strength within to determine where she truly belongs.","A NEW YORK TIMES BESTSELLER In this unforgettable debut novel, an Indian-American Muslim teen copes with Islamophobia, cultural divides among peers and parents, and a reality she can neither explain nor escape."
"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Wisconsin,School District of Waukesha,December 2021,Administrator,Young Adult Fiction,2018-01-16,"A NEW YORK TIMES BESTSELLER In this unforgettable debut novel, an Indian-American Muslim teen copes with Islamophobia, cultural divides among peers and parents, and a reality she can neither explain nor escape. Seventeen-year-old Maya Aziz is torn between worlds. There’s the proper one her parents expect for their good Indian daughter: attending a college close to their suburban Chicago home and being paired off with an older Muslim boy her mom deems “suitable.” And then there is the world of her dreams: going to film school and living in New York City—and pursuing a boy she’s known from afar since grade school. But in the aftermath of a horrific crime perpetrated hundreds of miles away, her life is turned upside down. The community she’s known since birth becomes unrecognizable; neighbors and classmates are consumed with fear, bigotry, and hatred. Ultimately, Maya must find the strength within to determine where she truly belongs.","A NEW YORK TIMES BESTSELLER In this unforgettable debut novel, an Indian-American Muslim teen copes with Islamophobia, cultural divides among peers and parents, and a reality she can neither explain nor escape."
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Education,2018-03-22,"""This book is about spending time learning about our own identities and the identities of others in order to grow a better understating of our place in the world""--",&quot;This book is about spending time learning about our own identities and the identities of others in order to grow a better understating of our place in the world&quot;--
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Education,2018-03-22,"""This book is about spending time learning about our own identities and the identities of others in order to grow a better understating of our place in the world""--",&quot;This book is about spending time learning about our own identities and the identities of others in order to grow a better understating of our place in the world&quot;--
Here's to Us,"Albertalli, Becky; Silvera, Adam",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-12-28,"#1 New York Times bestseller! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in the bestselling rom-com What If It’s Us. Ben survived freshman year of college, but he’s feeling more stuck than ever. His classes are a slog, his part-time job working with his father is even worse, and his best friend Dylan’s been acting weird for weeks. Ben’s only real bright spot is his writing partner Mario, who’s been giving him a lot of Spanish lessons and even more kisses. Mario’s big Hollywood dreams make Ben start to dream bigger—and the choices he makes now could be the key to reshaping his future. So why can’t he stop thinking about a certain boy from his past? Arthur is back in New York City for the first time in two years, ready to take the theater world by a storm as the world’s best . . . intern to the assistant of an off-off-Broadway director. Of course, it sucks to be spending the summer apart from his sweet, reliable boyfriend, Mikey, but he knows their relationship is strong enough to weather the distance. Which is why it’s no big deal when his ex-boyfriend Ben stumbles back into the picture. And it’s definitely fine that Ben’s blissfully happy with some mystery boy. First loves are special, but it’s way too late for what-ifs. Right? Even as the boys try to shake off the past, they keep running into each other in the present. Is this the universe trying to tell them there’s a do-over in their future? Here's to Us is sure to be welcomed by fans old and new of these authors and their previous collaboration, What If It's Us. Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in these smart, funny, heartfelt novels about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart.","Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in the bestselling rom-com What If It’s Us. Ben survived freshman year of college, but he’s feeling more stuck than ever."
